State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,State_Notes
Total,23158,5063,723,17372,24/04/2020 13:27:37,TT,119,51,2,
Maharashtra,6427,840,283,5304,23/04/2020 21:07:38,MH,0,0,0,
Delhi,2376,808,50,1518,23/04/2020 21:07:38,DL,0,0,0,
Gujarat,2624,258,112,2254,23/04/2020 20:47:39,GJ,0,0,0,
Rajasthan,2000,473,29,1498,23/04/2020 21:32:37,RJ,36,22,1,
Tamil Nadu,1683,752,20,911,23/04/2020 18:32:38,TN,0,0,0,
Madhya Pradesh,1687,203,83,1401,23/04/2020 17:47:39,MP,0,0,0,
Uttar Pradesh,1510,206,24,1280,23/04/2020 21:22:41,UP,0,0,0,
Telangana,970,252,25,693,23/04/2020 21:22:42,TG,0,0,0,
Andhra Pradesh,893,141,27,725,23/04/2020 14:47:37,AP,0,0,0,
Karnataka,463,150,18,295,24/04/2020 13:27:38,KA,18,5,1,
Kerala,447,316,2,129,24/04/2020 12:27:38,KL,0,0,0,
Jammu and Kashmir,434,92,5,337,23/04/2020 17:32:38,JK,0,0,0,
West Bengal,514,103,15,396,24/04/2020 09:17:38,WB,58,24,0,WB totals and district numbers are currently updated according to https://www.mohfw.gov.in
Haryana,270,170,3,97,23/04/2020 19:52:39,HR,0,0,0,One death in Ambala included.
Punjab,283,66,17,200,23/04/2020 18:02:38,PB,0,0,0,
Bihar,176,44,2,130,24/04/2020 10:17:38,BR,6,0,0,
Odisha,90,33,1,56,24/04/2020 09:37:38,OR,1,0,0,
Uttarakhand,47,24,0,23,22/04/2020 20:07:38,UT,0,0,0,
Jharkhand,53,8,3,42,23/04/2020 17:32:39,JH,0,0,0,
Himachal Pradesh,40,18,2,20,23/04/2020 21:52:49,HP,0,0,0,Death of Tibetan refugee included
Chhattisgarh,36,30,0,6,23/04/2020 10:37:39,CT,0,0,0,
Assam,36,19,1,16,20/04/2020 08:45:06,AS,0,0,0,Includes one case from Nagaland
Chandigarh,27,14,0,13,19/04/2020 17:45:25,CH,0,0,0,
Ladakh,18,16,0,2,23/04/2020 10:32:40,LA,0,0,0,
Andaman and Nicobar Islands,22,11,0,11,23/04/2020 16:47:39,AN,0,0,0,
Meghalaya,12,0,1,11,18/04/2020 12:38:07,ML,0,0,0,
Goa,7,7,0,0,19/04/2020 17:04:07,GA,0,0,0,
Puducherry,7,4,0,3,19/04/2020 08:25:07,PY,0,0,0,
Manipur,2,2,0,0,20/04/2020 10:04:08,MN,0,0,0,
Tripura,2,2,0,0,23/04/2020 20:47:41,TR,0,0,0,
Mizoram,1,0,0,1,26/03/2020 07:19:29,MZ,0,0,0,
Arunachal Pradesh,1,1,0,0,16/04/2020 19:33:11,AR,0,0,0,
Nagaland,0,0,0,0,20/04/2020 08:45:07,NL,0,0,0,
Dadra and Nagar Haveli,0,0,0,0,17/04/2020 15:03:07,DN,0,0,0,
Daman and Diu,0,0,0,0,26/03/2020 07:19:29,DD,0,0,0,
Lakshadweep,0,0,0,0,26/03/2020 07:19:29,LD,0,0,0,
Sikkim,0,0,0,0,26/03/2020 07:19:29,SK,0,0,0,
