State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,State_Notes
Total,17296,2854,559,13883,19/04/2020 23:18:05,TT,1573,388,38,
Maharashtra,4200,507,223,3470,19/04/2020 21:03:06,MH,552,142,12,
Delhi,2003,290,45,1668,19/04/2020 23:18:08,DL,110,83,2,
Gujarat,1743,105,63,1575,19/04/2020 20:25:15,GJ,367,12,10,
Tamil Nadu,1477,411,15,1051,19/04/2020 18:44:11,TN,105,46,0,
Rajasthan,1478,205,23,1250,19/04/2020 23:18:10,RJ,127,5,2,
Madhya Pradesh,1407,131,72,1204,19/04/2020 19:59:06,MP,5,4,3,
Uttar Pradesh,1099,127,17,955,19/04/2020 21:23:06,UP,125,19,3,
Telangana,858,186,21,651,19/04/2020 21:23:08,TG,49,0,3,
Andhra Pradesh,647,65,17,565,19/04/2020 15:35:05,AP,44,23,1,
Kerala,401,270,2,129,19/04/2020 18:06:06,KL,2,13,0,
Karnataka,390,111,16,263,19/04/2020 18:06:06,KA,6,7,2,
Jammu and Kashmir,350,56,5,289,19/04/2020 21:36:07,JK,9,5,0,
West Bengal,310,62,12,236,19/04/2020 12:14:07,WB,23,7,0,"As WB state bulletin only reports the number of active cases, the numbers for WB are currently updated according to https://www.mohfw.gov.in"
Haryana,250,104,3,143,19/04/2020 19:39:06,HR,18,4,0,1 death in Ambala unaccounted.
Punjab,244,37,16,191,19/04/2020 20:39:06,PB,10,6,0,
Bihar,93,42,2,49,19/04/2020 17:36:06,BR,7,0,0,
Odisha,61,24,1,36,18/04/2020 17:56:06,OR,0,0,0,
Uttarakhand,44,11,0,33,18/04/2020 15:26:17,UT,2,2,0,
Himachal Pradesh,39,16,2,21,18/04/2020 19:15:06,HP,0,0,0,Death of Tibetan refugee included
Jharkhand,41,0,2,39,19/04/2020 21:23:09,JH,8,0,0,
Chhattisgarh,36,25,0,11,18/04/2020 19:36:06,CT,0,0,0,
Assam,34,17,1,16,19/04/2020 19:39:07,AS,0,5,0,
Chandigarh,26,13,0,13,19/04/2020 17:45:25,CH,3,4,0,
Ladakh,18,14,0,4,16/04/2020 15:13:07,LA,0,0,0,
Andaman and Nicobar Islands,15,11,0,4,19/04/2020 16:04:06,AN,1,0,0,
Meghalaya,11,0,1,10,18/04/2020 12:38:07,ML,0,0,0,
Goa,7,7,0,0,19/04/2020 17:04:07,GA,0,1,0,
Puducherry,7,4,0,3,19/04/2020 08:25:07,PY,0,0,0,
Manipur,2,1,0,1,06/04/2020 22:35:54,MN,0,0,0,
Tripura,2,1,0,1,10/04/2020 20:00:27,TR,0,0,0,
Mizoram,1,0,0,1,26/03/2020 07:19:29,MZ,0,0,0,
Arunachal Pradesh,1,1,0,0,16/04/2020 19:33:11,AR,0,0,0,
Nagaland,1,0,0,1,12/04/2020 23:35:29,NL,0,0,0,
Dadra and Nagar Haveli,0,0,0,0,17/04/2020 15:03:07,DN,0,0,0,
Daman and Diu,0,0,0,0,26/03/2020 07:19:29,DD,0,0,0,
Lakshadweep,0,0,0,0,26/03/2020 07:19:29,LD,0,0,0,
Sikkim,0,0,0,0,26/03/2020 07:19:29,SK,0,0,0,
